Case,Date,Time,Street1,DisFm,Geo,Street2,P1,P2,P3,Primary,Inj,Fatal,HR,PP
90540787,"Fri., Apr. 10,2009",12:30,6TH,72,N,CLARA,BICYCLE,FIXED OBJECT,,OTD,1,0,,,South Of Market
91107732,"Fri., Apr. 10,2009",13:19,MARKET,0,E,DRUMM,BICYCLE,FIXED OBJECT,,OTD,1,0,,,Financial District
91160586,"Sat., Apr. 11,2009",19:41,MARKET,10,W,7TH,BICYCLE,FIXED OBJECT,,OTD,1,0,,,Downtown
91241647,"Sat., Apr. 11,2009",14:35,MARKET,295,E,5TH,BICYCLE,FIXED OBJECT,,OTD,1,0,,,Downtown
90476580,"Sun., Apr. 12,2009",15:19,5TH,0,X,HARRISON,BICYCLE,PEDESTRIAN,,21650.1,1,0,,,South Of Market,21650.1,Right Side of Roadway
90066692,"Sun., Apr. 12,2009",07:57,EMBARCADERO,325,N,MARKET,BICYCLE,PEDESTRIAN,,21950A,1,0,YES,,,21950A,Right-of-Way at Crosswalks
90614956,"Tue., Apr. 14,2009",17:23,MISSION,9,W,3RD,BICYCLE,PEDESTRIAN,,21950A,1,0,,,Financial District,21950A,Right-of-Way at Crosswalks
91115274,"Tue., Apr. 14,2009",14:32,MARKET,45,E,POWELL,BICYCLE,TAXI,,21658A,1,0,,,Western Addition,21658A,Laned Roadways
91284299,"Sat., Apr. 18,2009",13:18,MARKET,71,W,NEW MONTGOMERY,BICYCLE,TAXI,,21755,1,0,,,Financial District,21755,Pass on Right Safely
90077354,"Sun., Apr. 19,2009",18:50,DUBOCE,0,X,VALENCIA,BICYCLE,TAXI,,22107,1,0,,,Mission,22107,Turning Movements and Required Signals
91067233,"Mon., Apr. 20,2009",08:48,DIVISION,12,N,HENRY ADAMS,BICYCLE,TAXI,,22107,1,0,,,South Of Market,22107,Turning Movements and Required Signals
91078791,"Tue., Apr. 21,2009",11:51,5TH,195,N,BRANNAN,BICYCLE,TRK/TRK TRAC,,21755,1,0,,,South Of Market,21755,Pass on Right Safely
90600074,"Tue., Apr. 21,2009",09:55,2ND,0,X,DE BOOM,BICYCLE,TRK/TRK TRAC,,21208,0,0,,,South Of Market,21208,Permitted Movements from Bicycle Lanes
91086578,"Thu., Apr. 23,2009",16:55,11TH,0,X,HOWARD,BICYCLE,PEDESTRIAN,AUTO,21453A,1,0,YES,,South Of Market,21453A,Circular Red or Red Arrow
91085859,"Sat., Apr. 25,2009",15:00,MISSION,17,E,NEW MONTGOMERY,BICYCLE,PEDESTRIAN,PEDESTRIAN,21453A,1,0,,,Financial District,21453A,Circular Red or Red Arrow
91177280,"Sun., May. 03,2009",15:40,JENNINGS,9,N,FITZGERALD,BICYCLE,AUTO,,21201,1,0,,,Bayview,21201,Equipment Requirements
90358386,"Wed., May. 06,2009",06:54,3RD,4,S,16TH,BICYCLE,AUTO,,21453A,1,0,,,South Of Market,21453A,Circular Red or Red Arrow
90721664,"Thu., May. 07,2009",18:40,ARMY,491,W,EVANS,BICYCLE,AUTO,,21650.1,1,0,,,South Of Market,21650.1,Right Side of Roadway
90310568,"Tue., May. 12,2009",19:19,REVERE,194,E,3RD,BICYCLE,AUTO,,21804,1,0,,,Bayview,21804,Entry Onto Highway
90461973,"Wed., May. 13,2009",15:10,SILVER,10,E,BAYSHORE,BICYCLE,AUTO,,21663,1,0,,,Bayview,21663,Driving on Sidewalk
90121252,"Wed., May. 13,2009",18:24,EVANS,100,W,SELBY,BICYCLE,AUTO (PKD),,22350,1,0,,,Bayview,22350,Basic Speed Law
90865836,"Thu., May. 14,2009",20:55,BAYSHORE,169,S,ARMY,BICYCLE,BICYCLE,,UNK,1,0,,,South Of Market
90967993,"Fri., May. 15,2009",14:10,20TH,0,X,MISSOURI,BICYCLE,TRK/TRK TRAC,,21650.1,1,0,,,Potrero Hill,21650.1,Right Side of Roadway
90274986,"Sat., May. 16,2009",08:27,3RD,0,X,16TH,BICYCLE,TRK/TRK TRAC,,22101.0,1,0,,,South Of Market
91106530,"Sun., May. 17,2009",10:41,POTRERO,10,S,21ST,BICYCLE,,,22350,1,0,,,Mission,22350,Basic Speed Law
90242046,"Sun., May. 17,2009",10:14,21ST,165,E,VALENCIA,BICYCLE,,,UNK,1,0,,,Mission
