,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017","D018","D019","D020","D021","D022","D023","D024","D025","D026","D027","D028","D029","D030","D031","D032","D033","D034","D035","D036","D037","D038","D039","D040","D041","D042","D043","D044","D045","D046","D047","D048","D049"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:"
"Id","Id2","Geography",,,"Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over",,"Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
"1000000US060750101001025",60750101001025,"Block 1025, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001026",60750101001026,"Block 1026, Block Group 1, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101001027",60750101001027,"Block 1027, Block Group 1, Census Tract 101, San Francisco County, California",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1000000US060750101002000",60750101002000,"Block 2000, Block Group 2, Census Tract 101, San Francisco County, California",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101002001",60750101002001,"Block 2001, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750101002002",60750101002002,"Block 2002, Block Group 2, Census Tract 101, San Francisco County, California",410,164,2,0,6,3,0,0,1,1,6,2,2,5,10,10,8,6,9,2,6,18,22,28,17,246,1,2,2,2,1,0,1,6,3,6,3,3,6,14,12,7,12,4,16,39,36,32,38
"1000000US060750101002003",60750101002003,"Block 2003, Block Group 2, Census Tract 101, San Francisco County, California",158,85,6,2,0,0,0,0,0,4,12,12,11,6,5,5,3,5,2,1,4,1,2,0,4,73,2,2,0,1,0,0,0,8,12,7,10,5,8,5,3,1,2,0,4,2,1,0,0
"1000000US060750101002004",60750101002004,"Block 2004, Block Group 2, Census Tract 101, San Francisco County, California",264,141,2,1,2,2,0,0,0,10,24,15,14,13,12,15,8,3,2,2,1,5,4,2,4,123,1,3,1,1,0,2,3,12,16,10,10,12,4,2,5,0,5,4,4,5,9,9,5
"1000000US060750101002005",60750101002005,"Block 2005, Block Group 2, Census Tract 101, San Francisco County, California",79,46,0,0,0,0,0,0,0,5,12,10,9,3,2,0,2,0,2,0,0,1,0,0,0,33,2,0,0,0,0,0,1,1,11,5,4,3,0,1,1,1,1,1,1,0,0,0,0
"1000000US060750101002006",60750101002006,"Block 2006, Block Group 2, Census Tract 101, San Francisco County, California",599,258,17,25,26,20,13,9,4,11,11,7,7,14,25,16,14,5,9,5,4,5,8,3,0,341,15,25,42,24,14,4,8,12,13,20,20,30,22,22,23,5,5,6,8,10,8,4,1
