,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:"
"Id","Id2","Geography",,,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races",,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races"
"1000000US060750102001001",60750102001001,"Block 1001, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001002",60750102001002,"Block 1002, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001003",60750102001003,"Block 1003, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001004",60750102001004,"Block 1004, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001005",60750102001005,"Block 1005, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001006",60750102001006,"Block 1006, Block Group 1, Census Tract 102, San Francisco County, California",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001007",60750102001007,"Block 1007, Block Group 1, Census Tract 102, San Francisco County, California",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001008",60750102001008,"Block 1008, Block Group 1, Census Tract 102, San Francisco County, California",103,94,74,0,0,18,0,0,2,9,8,0,0,0,0,1,0
"1000000US060750102001009",60750102001009,"Block 1009, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001010",60750102001010,"Block 1010, Block Group 1, Census Tract 102, San Francisco County, California",83,77,64,0,0,12,0,0,1,6,1,0,0,0,0,0,5
